iter	Logloss
0	0.6739337002
1	0.6603452181
2	0.6450396512
3	0.6327638801
4	0.6221088987
5	0.6136338493
6	0.6062844845
7	0.5993326014
8	0.5928938581
9	0.5875183792
10	0.5822668254
11	0.5776072831
12	0.5746748659
13	0.5711452725
14	0.5672793472
15	0.563499022
16	0.5606372851
17	0.5582003401
18	0.5563720985
19	0.5543019845
20	0.5524850208
21	0.551233788
22	0.5493911188
23	0.5479312902
24	0.5469752179
25	0.5458561538
26	0.5447394809
27	0.5433828798
28	0.5426317154
29	0.5412603251
