,Number,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
493,94.0,Russell Carter,Notre Dame,32.0,30.4,17.1,6.0,13.8,0.431,2.6,6.7,0.394,2.5,3.5,0.714,1.3,3.7,4.9,1.8,1.6,0.3,2.2,2.2
494,95.0,Blake Schilb,Loyola (IL),31.0,33.4,17.0,5.8,12.8,0.452,1.7,4.8,0.356,3.8,4.4,0.854,1.2,4.0,5.2,4.0,1.3,0.6,3.3,1.7
495,96.0,Courtney Bradley,Jacksonville State,30.0,32.7,17.0,6.2,13.5,0.462,1.1,3.1,0.348,3.5,4.5,0.776,2.5,4.5,7.0,1.2,1.4,0.2,2.9,3.1
496,97.0,Derrick Byars,Vanderbilt,34.0,31.4,17.0,6.1,13.3,0.457,2.3,6.2,0.373,2.5,3.6,0.711,1.6,3.3,4.9,3.4,1.4,0.1,2.4,2.4
497,98.0,Kyle Visser,Wake Forest,31.0,29.0,17.0,6.1,10.4,0.584,0.0,0.1,0.0,4.8,7.5,0.644,2.9,4.5,7.4,0.6,0.7,1.4,2.0,2.5
498,99.0,Keith Simmons,Holy Cross,34.0,35.6,16.9,5.6,11.2,0.497,1.5,4.3,0.349,4.3,5.6,0.767,2.3,3.4,5.8,1.9,2.3,0.7,1.8,2.3
499,100.0,Quinton Day,UMKC,32.0,36.9,16.9,5.7,14.3,0.399,2.9,7.6,0.38,2.7,3.4,0.789,0.4,3.1,3.5,4.1,1.7,0.0,3.4,1.6
500,1.0,Reggie Williams,Virginia Military,25.0,35.1,27.8,10.8,20.4,0.528,1.7,6.2,0.279,4.6,6.8,0.671,3.7,6.0,9.7,3.9,2.2,0.7,3.0,2.1
501,2.0,Charron Fisher,Niagara,29.0,37.0,27.6,8.8,22.2,0.397,2.4,7.5,0.318,7.6,9.8,0.771,3.2,6.3,9.5,1.2,1.7,0.6,3.1,2.6
502,3.0,Michael Beasley,Kansas State,33.0,31.5,26.2,9.3,17.5,0.532,1.1,2.9,0.379,6.5,8.5,0.774,4.0,8.4,12.4,1.2,1.3,1.6,2.9,2.6
503,4.0,Stephen Curry,Davidson,36.0,33.1,25.9,8.8,18.2,0.483,4.5,10.3,0.439,3.8,4.2,0.894,0.8,3.8,4.6,2.9,2.0,0.4,2.6,2.4
504,5.0,Lester Hudson,Tennessee-Martin,33.0,36.9,25.7,8.8,19.0,0.464,3.8,9.7,0.388,4.3,5.1,0.834,2.2,5.7,7.8,4.5,2.8,0.7,3.8,2.6
505,6.0,Arizona Reid,High Point,31.0,35.3,23.9,9.8,18.4,0.532,1.1,2.9,0.378,3.2,4.3,0.746,3.4,7.6,11.0,2.4,1.7,0.5,2.1,2.8
506,7.0,Stefon Jackson,UTEP,33.0,35.0,23.6,7.9,17.0,0.464,1.1,3.2,0.333,6.7,9.2,0.729,1.7,4.0,5.7,1.7,1.2,0.1,2.3,2.3
507,8.0,Rob McKiver,Houston,34.0,34.8,23.6,6.9,17.3,0.396,4.3,11.1,0.386,5.6,6.3,0.884,0.5,3.3,3.9,2.9,1.6,0.1,2.5,1.9
508,9.0,Ryan Toolson,Utah Valley,29.0,37.9,23.4,7.2,15.2,0.476,3.6,8.1,0.436,5.4,5.7,0.951,0.4,2.8,3.2,2.9,0.8,0.1,2.6,1.6
509,10.0,Bo McCalebb,New Orleans,32.0,33.3,23.2,8.2,16.1,0.506,1.5,3.6,0.405,5.4,7.0,0.772,1.6,2.9,4.5,3.1,2.4,0.1,2.3,2.7
510,11.0,David Holston,Chicago State,28.0,33.3,23.1,7.2,16.8,0.43,4.6,11.5,0.404,4.0,4.7,0.848,0.9,2.2,3.1,5.1,2.1,0.1,3.9,2.2
511,12.0,Antoine Agudio,Hofstra,27.0,39.1,22.7,7.7,17.8,0.431,3.1,7.6,0.41,4.2,5.4,0.776,0.6,3.4,3.9,2.9,1.1,0.0,3.6,1.8
512,13.0,Tyler Hansbrough,North Carolina,39.0,33.0,22.6,7.4,13.7,0.54,0.0,0.2,0.0,7.8,9.7,0.806,3.9,6.4,10.2,0.9,1.5,0.4,2.1,2.4
513,14.0,Jaycee Carroll,Utah State,35.0,37.3,22.4,7.6,14.5,0.526,3.3,6.5,0.498,3.9,4.3,0.919,1.6,4.4,6.0,2.2,0.9,0.2,2.0,1.9
514,15.0,Greg Sprink,Navy,30.0,34.5,21.8,6.3,17.4,0.361,2.5,8.5,0.299,6.6,7.7,0.858,1.5,4.9,6.3,2.9,1.3,0.2,3.4,3.5
515,16.0,DeMario Anderson,Quinnipiac,28.0,33.0,21.7,7.9,17.6,0.447,1.3,3.4,0.372,4.7,5.9,0.805,1.0,5.4,6.5,3.3,1.5,0.4,4.1,2.9
516,17.0,George Hill,IUPUI,32.0,36.8,21.5,6.9,12.6,0.545,1.5,3.4,0.45,6.2,7.7,0.812,1.5,5.2,6.8,4.3,1.8,0.4,2.9,2.8
517,18.0,Donovan Morris,Long Beach State,31.0,37.5,21.2,6.5,14.1,0.461,2.4,5.8,0.417,5.7,6.7,0.847,0.9,4.3,5.2,2.3,0.8,0.3,3.4,1.3
518,19.0,Ryan Anderson,California,33.0,32.8,21.1,7.0,14.2,0.49,1.9,4.7,0.41,5.2,6.0,0.869,3.0,6.9,9.9,1.4,0.4,0.5,2.2,2.2
519,20.0,Robert Vaden,UAB,33.0,35.5,21.1,6.7,16.3,0.408,4.3,10.8,0.4,3.4,4.0,0.863,0.4,3.1,3.5,2.6,1.0,0.2,2.9,2.0
520,21.0,Tyrese Rice,Boston College,30.0,38.1,21.0,6.7,15.4,0.433,2.1,6.0,0.358,5.5,6.5,0.846,0.4,2.9,3.3,5.0,1.6,0.2,3.4,2.2
521,22.0,Eric Gordon,Indiana,32.0,34.7,20.9,5.8,13.3,0.433,2.2,6.5,0.337,7.2,8.7,0.834,0.7,2.5,3.3,2.4,1.3,0.6,3.6,2.2
522,23.0,Jonathan Rodriguez,Campbell,30.0,35.0,20.9,6.7,13.8,0.488,0.5,1.7,0.275,6.9,9.1,0.765,3.1,7.0,10.1,2.5,1.6,0.6,3.6,2.4
523,24.0,Jermaine Taylor,UCF,31.0,33.5,20.8,7.5,16.2,0.461,2.5,6.9,0.367,3.4,4.3,0.795,1.7,3.0,4.7,1.7,1.1,0.3,2.5,2.1
524,25.0,Manny Ubilla,Fairleigh Dickinson,28.0,38.4,20.8,6.4,14.6,0.435,3.3,7.8,0.429,4.8,5.8,0.816,0.6,4.2,4.8,4.9,1.5,0.3,3.8,2.2
525,26.0,O.J. Mayo,USC,33.0,36.8,20.7,7.2,16.2,0.442,2.7,6.5,0.409,3.7,4.6,0.803,1.1,3.5,4.5,3.3,1.5,0.4,3.5,2.4
526,27.0,Ben Woodside,North Dakota State,29.0,36.6,20.7,6.3,13.7,0.461,2.1,5.4,0.397,5.9,7.1,0.83,0.3,2.4,2.7,5.1,1.5,0.1,3.1,2.2
527,28.0,Geoff Payne,Southern Utah,30.0,35.7,20.6,7.3,12.9,0.567,0.0,0.1,0.0,6.0,8.7,0.69,2.7,4.1,6.8,2.3,1.8,0.4,3.0,2.7
528,29.0,Dior Lowhorn,San Francisco,31.0,36.6,20.5,8.1,15.8,0.513,0.3,1.1,0.257,4.0,5.6,0.707,2.9,4.5,7.4,0.7,0.5,0.9,3.0,1.6
529,30.0,Courtney Lee,Western Kentucky,36.0,30.0,20.4,7.2,15.1,0.477,1.9,4.8,0.397,4.1,5.0,0.822,1.3,3.5,4.9,2.1,1.8,0.8,2.3,2.4
530,31.0,Jason Thompson,Rider,34.0,34.6,20.4,8.1,14.4,0.56,0.3,1.0,0.324,3.9,6.7,0.581,3.4,8.8,12.1,2.7,1.1,2.7,2.9,2.9
531,32.0,Luke Harangody,Notre Dame,33.0,29.0,20.4,7.8,15.7,0.5,0.1,0.3,0.333,4.6,6.0,0.763,3.5,7.1,10.6,1.7,0.8,0.9,2.3,2.6
532,33.0,Shan Foster,Vanderbilt,34.0,33.7,20.3,7.1,13.6,0.523,3.9,8.4,0.469,2.1,2.8,0.76,1.1,3.8,4.9,1.6,1.1,0.2,1.7,1.9
533,34.0,Alex Harris,UC Santa Barbara,31.0,32.4,20.2,6.0,14.0,0.43,2.4,5.6,0.423,5.8,7.2,0.812,1.0,2.7,3.7,1.7,1.1,0.2,2.6,2.2
534,35.0,Josh Akognon,Cal State Fullerton,32.0,31.7,20.2,6.6,14.8,0.449,3.6,9.2,0.393,3.3,3.7,0.899,0.6,2.8,3.3,1.5,1.4,0.1,1.7,2.2
535,36.0,Ed Tyson,Maryland-Eastern Shore,32.0,36.8,20.2,6.8,18.3,0.374,2.3,7.1,0.323,4.2,5.5,0.763,1.8,1.5,3.3,1.4,1.7,0.0,3.2,2.9
536,37.0,Marcelus Kemp,Nevada,33.0,32.1,20.0,6.7,15.0,0.449,2.1,5.6,0.38,4.4,5.1,0.863,1.3,4.1,5.4,3.3,0.7,0.3,2.5,1.9
537,38.0,Sean Singletary,Virginia,33.0,34.0,19.8,6.2,14.4,0.426,1.8,4.8,0.367,5.7,6.7,0.851,0.8,3.1,3.8,6.1,1.8,0.0,3.9,2.7
538,39.0,Jerryd Bayless,Arizona,30.0,35.7,19.7,5.8,12.6,0.458,2.0,4.8,0.407,6.2,7.4,0.839,0.4,2.3,2.7,4.0,1.0,0.1,3.0,2.2
539,40.0,Dionte Christmas,Temple,34.0,37.2,19.7,6.2,14.1,0.439,3.1,8.3,0.369,4.3,5.6,0.772,1.3,4.7,5.9,2.5,1.4,0.2,2.8,2.6
540,41.0,Demetric Bennett,South Alabama,33.0,34.8,19.7,6.5,13.4,0.481,2.7,6.7,0.405,4.0,4.8,0.836,1.3,4.5,5.8,2.5,1.3,0.1,2.5,1.2
541,42.0,Marcus Thornton,LSU,31.0,33.6,19.6,6.8,15.7,0.436,2.9,7.7,0.377,3.0,3.7,0.817,2.0,3.6,5.6,1.4,1.4,0.3,2.2,2.0
542,43.0,Reggie Larry,Boise State,34.0,34.3,19.4,7.2,13.4,0.536,1.1,2.5,0.43,4.0,6.3,0.638,2.5,6.7,9.2,1.8,1.4,1.0,2.6,2.0
543,44.0,Gary Forbes,Massachusetts,36.0,33.7,19.4,6.5,15.9,0.407,1.6,5.4,0.292,4.9,6.8,0.72,1.8,5.7,7.5,3.0,1.1,0.7,3.2,2.4
544,45.0,Jon Goode,Detroit-Mercy,26.0,34.4,19.3,6.6,14.5,0.452,3.0,6.8,0.446,3.1,4.0,0.786,0.6,2.3,2.9,2.7,0.9,0.0,2.9,2.2
545,46.0,Brook Lopez,Stanford,27.0,30.7,19.3,6.8,14.6,0.468,0.0,0.2,0.0,5.7,7.2,0.789,2.9,5.3,8.2,1.4,0.6,2.1,2.1,2.4
546,47.0,Brett Winkelman,North Dakota State,29.0,31.8,19.2,6.7,12.9,0.516,1.0,2.2,0.438,5.0,6.1,0.818,2.4,5.9,8.3,2.1,1.0,0.4,2.9,2.8
547,48.0,D.J. Augustin,Texas,38.0,37.3,19.2,6.4,14.5,0.439,1.9,5.1,0.381,4.6,5.8,0.783,0.5,2.4,2.9,5.8,1.2,0.0,2.8,1.6
548,49.0,Kyle Hines,UNC Greensboro,31.0,32.3,19.2,7.6,13.6,0.556,0.0,0.3,0.125,4.0,6.4,0.628,3.9,5.1,9.1,1.4,1.8,3.1,3.3,2.8
549,50.0,Roy Bright,Delaware State,28.0,36.2,19.1,7.0,16.4,0.426,2.8,7.9,0.355,2.4,3.0,0.807,1.3,4.0,5.3,0.6,0.7,0.6,1.4,2.6
550,51.0,Marqus Blakely,Vermont,29.0,34.0,19.0,6.8,12.4,0.55,0.0,0.2,0.167,5.3,9.3,0.565,3.8,7.2,11.0,2.3,2.0,2.7,2.5,2.8
551,52.0,James Florence,Mercer,28.0,32.0,19.0,6.4,18.1,0.353,2.4,8.6,0.277,3.8,5.7,0.663,0.5,3.6,4.1,3.0,1.8,0.2,3.8,3.4
552,53.0,Jeremy Wise,Southern Mississippi,33.0,34.5,18.7,5.7,13.6,0.421,1.2,3.9,0.318,6.0,7.3,0.818,0.5,2.6,3.1,4.2,1.2,0.4,3.4,2.9
553,54.0,Leemire Goldwire,Charlotte,34.0,33.2,18.6,5.7,15.3,0.373,3.8,10.9,0.345,3.5,4.3,0.808,1.1,3.3,4.4,1.7,2.1,0.1,2.4,2.7
554,55.0,Will Daniels,Rhode Island,33.0,28.5,18.6,6.9,13.8,0.501,1.4,3.8,0.36,3.5,5.0,0.691,2.1,4.5,6.5,1.1,1.0,0.9,2.4,3.1
555,56.0,Brian Laing,Seton Hall,32.0,38.3,18.6,6.8,15.0,0.455,1.2,3.1,0.374,3.8,4.8,0.803,1.9,5.0,6.9,2.0,1.6,0.5,2.4,2.8
556,57.0,Gerald Brown,Loyola (MD),33.0,31.4,18.6,5.4,13.7,0.393,2.0,5.8,0.351,5.8,7.3,0.792,1.5,3.4,4.8,1.9,1.6,0.2,2.9,3.5
557,58.0,Sean Baptiste,Fairleigh Dickinson,25.0,36.8,18.5,6.0,12.7,0.476,1.2,3.5,0.356,5.2,6.8,0.763,2.5,3.8,6.3,1.4,1.0,0.2,1.7,2.7
558,59.0,Brian Roberts,Dayton,34.0,34.7,18.4,6.1,12.9,0.476,2.9,6.5,0.455,3.3,3.8,0.86,0.2,2.6,2.8,3.4,0.4,0.1,2.8,1.8
559,60.0,Devan Downey,South Carolina,32.0,37.4,18.4,6.8,16.1,0.423,1.7,4.7,0.351,3.1,4.2,0.733,0.6,2.6,3.2,5.4,3.2,0.2,2.7,2.0
560,61.0,Garrison Carr,American University,33.0,35.7,18.4,5.8,13.6,0.424,4.1,9.1,0.452,2.8,3.1,0.892,0.7,2.7,3.4,1.7,0.7,0.0,2.2,1.8
561,62.0,Chavis Holmes,Virginia Military,29.0,30.9,18.3,6.4,14.4,0.444,2.8,7.9,0.36,2.7,3.8,0.709,1.5,2.8,4.3,2.5,2.4,0.4,2.1,2.6
562,63.0,Kevin Bell,Fresno State,32.0,37.5,18.3,6.3,14.4,0.439,1.0,2.6,0.39,4.6,6.6,0.698,0.4,2.8,3.3,5.8,1.2,0.1,3.3,1.8
563,64.0,Ricky Harris,Massachusetts,36.0,32.6,18.2,5.8,13.6,0.428,2.9,7.8,0.373,3.7,4.9,0.753,0.5,2.0,2.5,1.8,1.6,0.1,2.0,2.1
564,65.0,O'Darien Bassett,Troy,31.0,30.8,18.2,6.0,14.6,0.412,2.1,6.2,0.342,4.1,5.0,0.818,1.1,2.8,3.9,2.4,1.3,0.1,2.1,1.7
565,66.0,Jarell Brown,Army West Point,30.0,36.4,18.2,6.3,15.0,0.423,3.4,8.4,0.401,2.1,2.7,0.8,0.5,3.4,3.9,1.9,1.6,0.1,1.7,1.6
566,67.0,Carlos Taylor,Montana State,30.0,29.6,18.1,6.1,13.4,0.458,2.0,5.0,0.397,3.9,4.8,0.806,0.7,3.1,3.8,2.1,0.9,0.2,2.5,2.8
567,68.0,Chris Douglas-Roberts,Memphis,40.0,28.7,18.1,6.5,12.0,0.541,1.1,2.7,0.413,4.0,5.7,0.712,1.3,2.8,4.1,1.8,1.2,0.5,2.1,1.7
568,69.0,Thomas Sanders,Gardner-Webb,32.0,32.5,18.1,6.6,13.8,0.476,0.3,1.2,0.211,4.7,7.3,0.634,3.3,7.6,10.8,3.3,1.3,0.2,3.5,3.1
569,70.0,Justin Hawkins,New Mexico State,33.0,33.1,18.1,6.0,12.8,0.473,1.3,3.2,0.4,4.8,6.1,0.781,2.5,4.7,7.2,2.4,1.0,0.5,2.8,2.7
570,71.0,Corey Lowe,Boston University,26.0,33.8,18.1,6.3,15.5,0.406,3.5,9.5,0.371,1.9,3.2,0.61,0.7,3.0,3.7,3.3,1.0,0.2,3.2,2.6
571,72.0,Sam Young,Pittsburgh,37.0,32.1,18.1,6.9,13.6,0.503,1.2,3.1,0.383,3.1,4.5,0.69,2.2,4.0,6.3,1.2,1.1,1.1,2.4,2.0
572,73.0,John Bryant,Santa Clara,31.0,27.8,18.0,6.9,11.8,0.583,0.0,0.0,0.0,4.2,5.6,0.743,2.5,7.1,9.6,0.7,0.5,2.5,2.8,3.0
573,74.0,Tim Clifford,Holy Cross,29.0,32.0,18.0,7.1,12.4,0.571,0.5,1.4,0.333,3.3,4.3,0.782,2.9,2.5,5.4,1.2,0.7,2.3,2.5,3.4
574,75.0,Mike Trimboli,Vermont,31.0,36.5,17.9,6.0,13.7,0.438,2.0,5.7,0.356,3.9,4.5,0.864,0.8,2.9,3.7,4.5,1.3,0.2,3.7,2.6
575,76.0,Tony Murphy,Norfolk State,31.0,35.0,17.9,5.8,15.9,0.367,2.4,7.6,0.308,3.9,4.7,0.829,0.5,2.5,3.1,2.5,1.7,0.1,3.4,1.0
576,77.0,Joe Crawford,Kentucky,30.0,33.6,17.9,6.3,13.4,0.469,2.1,5.8,0.364,3.3,4.3,0.762,1.0,2.6,3.6,2.1,0.6,0.2,2.8,2.7
577,78.0,Eric Maynor,VCU,32.0,34.9,17.9,6.1,13.3,0.459,1.6,4.0,0.394,4.1,5.4,0.762,0.8,3.4,4.2,5.5,1.3,0.2,3.0,1.9
578,79.0,James Harden,Arizona State,34.0,34.1,17.8,5.8,10.9,0.527,1.3,3.2,0.407,5.0,6.6,0.754,1.3,4.0,5.3,3.2,2.1,0.6,2.6,2.1
579,80.0,Richard Hendrix,Alabama,32.0,30.6,17.8,7.2,12.0,0.598,0.1,0.2,0.286,3.4,6.3,0.537,3.7,6.4,10.1,1.6,1.3,2.0,1.7,2.9
580,81.0,Jon Brockman,Washington,32.0,31.5,17.8,7.4,13.8,0.536,0.0,0.0,0.0,2.9,5.7,0.519,4.4,7.2,11.6,1.1,0.7,0.3,2.4,2.9
581,82.0,Donte Greene,Syracuse,35.0,35.8,17.7,6.2,14.9,0.418,2.6,7.5,0.345,2.7,3.8,0.707,1.7,5.5,7.2,2.0,1.3,1.6,2.6,2.9
582,83.0,Jack McClinton,Miami (FL),32.0,31.4,17.7,5.6,13.1,0.428,2.9,6.9,0.427,3.6,3.9,0.919,0.3,2.1,2.4,2.6,0.8,0.0,2.5,1.8
583,84.0,Draelon Burns,DePaul,30.0,32.1,17.6,5.8,14.3,0.402,2.1,6.1,0.346,4.0,4.9,0.81,0.9,2.5,3.4,2.5,1.7,0.1,1.8,1.8
584,85.0,Bruce Price,Tennessee State,32.0,34.0,17.6,5.0,12.3,0.405,1.7,5.2,0.325,5.9,8.4,0.701,0.9,3.8,4.7,5.0,2.2,0.1,4.0,3.0
585,86.0,Kyle Landry,Northern Arizona,32.0,25.5,17.5,5.9,10.1,0.585,0.0,0.0,0.0,5.7,8.1,0.707,2.8,5.3,8.1,0.9,1.0,0.8,1.5,2.7
586,87.0,Michael Lee,St. Bonaventure,30.0,36.3,17.5,6.4,13.2,0.486,1.1,2.8,0.381,3.6,5.1,0.704,2.3,5.7,8.0,1.4,1.5,0.5,2.9,2.1
587,88.0,Pat Calathes,Saint Joseph's,34.0,33.6,17.5,5.6,12.4,0.448,2.2,5.4,0.4,4.2,5.1,0.826,1.9,5.6,7.5,2.7,1.2,1.2,2.3,2.7
588,89.0,Nate Bowie,Central Arkansas,30.0,35.2,17.5,5.1,12.7,0.4,2.0,6.0,0.335,5.3,6.9,0.773,1.1,2.4,3.5,3.5,1.9,0.0,3.1,2.4
589,90.0,Kevin Love,UCLA,39.0,29.6,17.5,5.8,10.4,0.559,0.7,2.1,0.354,5.1,6.6,0.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,1.9
590,91.0,D.J. White,Indiana,33.0,33.5,17.4,6.5,10.8,0.605,0.0,0.1,0.333,4.3,6.2,0.689,3.0,7.3,10.3,0.8,0.8,1.6,1.9,2.5
591,92.0,Charles Rhodes,Mississippi State,31.0,31.5,17.4,6.9,12.3,0.562,0.1,0.2,0.5,3.5,5.1,0.673,2.9,4.9,7.8,0.9,0.5,1.4,2.4,2.4
592,93.0,Deonta Vaughn,Cincinnati,32.0,33.4,17.3,5.6,12.8,0.436,3.0,7.6,0.398,3.2,4.0,0.789,0.5,2.4,2.9,4.2,1.0,0.1,3.2,2.8
593,94.0,Derick Nelson,Oakland,31.0,33.9,17.3,5.7,12.7,0.446,0.6,1.9,0.322,5.3,8.3,0.638,3.3,4.1,7.4,1.5,1.7,0.1,2.8,2.6
594,95.0,Brandon Ewing,Wyoming,30.0,38.0,17.2,5.4,12.5,0.431,2.0,5.6,0.357,4.4,5.4,0.826,0.6,3.0,3.6,4.0,1.3,0.1,3.4,2.1
595,96.0,Rashad West,Hampton,30.0,31.5,17.2,5.3,14.0,0.38,2.1,6.5,0.32,4.5,6.2,0.722,0.7,2.4,3.1,2.9,1.3,0.0,3.4,1.6
596,97.0,Jamont Gordon,Mississippi State,34.0,34.6,17.2,5.7,13.7,0.415,1.8,5.5,0.319,4.1,5.9,0.693,1.2,5.4,6.6,4.9,1.1,0.6,4.1,2.6
597,98.0,Chase Budinger,Arizona,34.0,35.3,17.1,6.0,13.4,0.446,2.1,5.6,0.38,3.0,4.2,0.718,1.0,4.4,5.4,2.9,1.1,0.2,2.4,1.9
598,99.0,Dominique Jones,South Florida,31.0,34.9,17.1,5.7,12.4,0.46,1.7,4.9,0.353,4.0,5.2,0.759,1.4,3.2,4.6,2.8,1.5,0.3,2.3,2.4
599,100.0,Marquis Weddle,Tennessee-Martin,33.0,34.8,17.1,6.0,14.8,0.409,3.0,8.9,0.337,2.1,2.8,0.747,0.4,2.5,2.8,1.8,0.9,0.0,2.3,1.2
600,1.0,Stephen Curry,Davidson,34.0,33.7,28.6,9.2,20.2,0.454,3.8,9.9,0.387,6.5,7.4,0.876,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4
601,2.0,Lester Hudson,Tennessee-Martin,32.0,36.0,27.5,9.8,21.8,0.449,3.3,9.3,0.355,4.6,5.3,0.881,2.2,5.8,7.9,4.2,2.3,0.6,3.3,2.7
602,3.0,Jermaine Taylor,UCF,31.0,31.9,26.2,9.4,19.5,0.48,3.0,7.9,0.376,4.5,5.5,0.812,1.9,3.3,5.2,1.9,1.3,0.8,2.8,1.8
603,4.0,David Holston,Chicago State,32.0,34.9,25.9,8.4,19.8,0.426,4.6,12.3,0.372,4.5,5.5,0.824,1.0,2.7,3.7,6.4,3.0,0.0,4.1,2.1
604,5.0,Stefon Jackson,UTEP,37.0,36.1,24.5,7.6,17.8,0.427,0.9,2.8,0.308,8.4,10.1,0.834,1.6,3.8,5.4,1.9,1.1,0.1,2.1,2.7
605,6.0,Josh Akognon,Cal State Fullerton,32.0,35.6,23.9,7.8,19.3,0.401,4.3,11.4,0.372,4.1,4.6,0.892,0.6,2.6,3.2,1.6,1.0,0.0,2.6,2.0
606,7.0,Ryan Toolson,Utah Valley,28.0,37.1,23.8,7.2,15.5,0.464,2.6,6.8,0.389,6.8,7.3,0.927,0.4,3.3,3.8,3.1,1.0,0.3,2.5,1.3
607,8.0,Jodie Meeks,Kentucky,36.0,34.4,23.7,7.3,15.8,0.463,3.3,8.0,0.406,5.9,6.5,0.902,0.5,2.9,3.4,1.8,1.3,0.1,2.7,1.9
608,9.0,Luke Harangody,Notre Dame,34.0,34.3,23.3,8.8,19.2,0.459,0.4,1.1,0.368,5.2,6.7,0.777,3.5,8.3,11.8,2.1,0.9,0.9,1.8,2.3
609,10.0,Ben Woodside,North Dakota State,33.0,34.5,23.2,7.1,15.3,0.464,2.0,4.8,0.427,7.0,8.3,0.84,0.3,2.9,3.2,6.2,1.4,0.2,3.2,1.3
610,11.0,Jeremy Hazell,Seton Hall,32.0,36.3,22.7,7.3,17.2,0.427,3.3,9.1,0.362,4.7,6.4,0.74,1.3,2.5,3.8,0.9,1.8,0.0,2.2,2.0
611,12.0,Blake Griffin,Oklahoma,35.0,33.3,22.7,8.6,13.1,0.654,0.1,0.2,0.375,5.5,9.3,0.59,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5
612,13.0,Eric Maynor,VCU,34.0,35.5,22.4,7.3,15.8,0.463,1.9,5.4,0.361,5.8,7.1,0.815,0.5,3.1,3.6,6.2,1.7,0.2,3.0,2.4
613,14.0,Chavis Holmes,Virginia Military,31.0,33.2,22.0,6.9,13.4,0.513,2.7,6.1,0.441,5.6,6.8,0.829,1.8,2.9,4.6,3.1,3.4,1.1,2.3,2.6
614,15.0,Drake Reed,Austin Peay,33.0,36.7,21.9,8.3,14.8,0.565,0.5,1.4,0.37,4.7,6.3,0.746,2.5,5.0,7.5,2.4,0.7,0.6,2.5,2.0
615,16.0,Toney Douglas,Florida State,35.0,36.5,21.5,6.8,15.3,0.446,2.4,6.3,0.385,5.4,6.6,0.81,0.8,3.1,3.9,2.9,1.8,0.4,2.5,2.2
616,17.0,Kevin Tiggs,East Tennessee State,34.0,33.8,21.4,7.3,13.8,0.529,1.1,3.1,0.352,5.8,7.5,0.766,1.9,2.9,4.8,2.0,2.1,0.2,3.1,2.2
617,18.0,Michael DeLoach,Norfolk State,32.0,36.1,21.4,7.8,17.3,0.455,1.1,3.4,0.33,4.6,6.4,0.721,1.7,3.3,4.9,2.8,1.9,0.3,3.6,2.9
618,19.0,Marcus Thornton,LSU,35.0,32.0,21.1,7.3,15.5,0.472,2.2,5.7,0.388,4.3,5.7,0.745,2.0,3.5,5.5,2.1,1.6,0.4,1.8,2.1
619,20.0,James Florence,Mercer,32.0,34.5,20.8,7.2,17.1,0.419,2.0,6.7,0.296,4.5,6.5,0.697,0.8,2.8,3.5,3.7,2.3,0.1,3.8,2.5
620,21.0,Tyler Hansbrough,North Carolina,34.0,30.3,20.7,6.6,12.8,0.514,0.3,0.7,0.391,7.3,8.7,0.841,3.0,5.1,8.1,1.0,1.2,0.4,1.9,2.3
621,22.0,Seth Curry,Liberty,35.0,36.5,20.2,6.9,16.7,0.417,2.9,8.4,0.347,3.4,4.1,0.832,0.7,3.7,4.4,2.3,1.4,0.3,2.3,1.5
622,23.0,Craig Brackins,Iowa State,32.0,32.5,20.2,7.6,16.0,0.475,0.7,2.3,0.284,4.3,6.2,0.697,1.7,7.8,9.5,1.3,0.5,0.9,2.3,2.1
623,24.0,Dior Lowhorn,San Francisco,30.0,32.3,20.1,7.7,15.9,0.483,1.3,2.9,0.432,3.5,5.1,0.68,2.2,4.7,6.9,0.8,0.5,0.6,1.5,2.0
624,25.0,James Harden,Arizona State,35.0,35.8,20.1,6.3,12.9,0.489,1.7,4.7,0.356,5.8,7.7,0.756,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8
625,26.0,Troy Jackson,Alcorn State,30.0,37.1,20.0,6.4,15.2,0.424,1.2,4.6,0.261,5.9,7.7,0.774,1.2,3.5,4.7,3.2,2.5,0.4,2.4,2.0
626,27.0,Darryl Proctor,UMBC,32.0,39.7,20.0,7.9,17.0,0.467,0.1,0.4,0.143,4.0,5.7,0.709,2.6,6.2,8.8,2.0,1.4,0.7,2.2,2.6
627,28.0,D.J. Rivera,Binghamton,32.0,35.4,20.0,7.2,15.2,0.473,1.5,4.7,0.315,4.1,6.5,0.635,2.0,4.5,6.5,1.1,1.8,0.4,1.8,2.7
628,29.0,Mike Rose,Eastern Kentucky,31.0,36.5,20.0,6.7,14.2,0.472,3.2,6.6,0.481,3.4,4.4,0.759,2.0,3.3,5.3,2.5,1.7,0.1,2.4,1.5
629,30.0,Devan Downey,South Carolina,31.0,32.9,19.8,7.5,17.0,0.438,1.7,4.8,0.347,3.2,4.3,0.746,0.6,2.2,2.8,4.5,2.9,0.1,3.5,2.1
630,31.0,Jerel McNeal,Marquette,35.0,35.0,19.8,6.7,15.3,0.442,2.5,6.2,0.398,3.9,5.2,0.738,0.8,3.7,4.5,3.9,2.0,0.6,2.9,2.5
